,⺮,一,丶,乙,人,亻,八,冫,厂,又,口,囗,土,大,女,子,宀,寸,尸,巾,广,彳,心,忄,戶,手,扌,方,月,木,水,氵,火,牛,玉,目,矢,示,糸,老,而,臼,艸,行,衣,見,言,訁,足,車,辶,金,門,雨,食,馬
寸,0.010101010101010102,0.11616161616161616,0.030303030303030304,0.0,0.06060606060606061,0.020202020202020204,0.025252525252525252,0.0,0.0,0.0,0.06060606060606061,0.0,0.020202020202020204,0.0707070707070707,0.010101010101010102,0.0,0.010101010101010102,0.010101010101010102,0.005050505050505051,0.0,0.005050505050505051,0.030303030303030304,0.0,0.020202020202020204,0.010101010101010102,0.0,0.005050505050505051,0.010101010101010102,0.03535353535353535,0.010101010101010102,0.0,0.030303030303030304,0.0707070707070707,0.010101010101010102,0.0,0.010101010101010102,0.020202020202020204,0.015151515151515152,0.0,0.015151515151515152,0.050505050505050504,0.0,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.0,0.010101010101010102,0.010101010101010102,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
尸,0.0,0.03535353535353535,0.025252525252525252,0.0,0.030303030303030304,0.005050505050505051,0.010101010101010102,0.0,0.0,0.0,0.04040404040404041,0.005050505050505051,0.0,0.025252525252525252,0.020202020202020204,0.0,0.005050505050505051,0.005050505050505051,0.0,0.005050505050505051,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.030303030303030304,0.005050505050505051,0.0,0.005050505050505051,0.0,0.005050505050505051,0.0,0.0,0.015151515151515152,0.0,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.015151515151515152,0.015151515151515152,0.005050505050505051,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0
巾,0.0,0.05555555555555555,0.1414141414141414,0.005050505050505051,0.050505050505050504,0.030303030303030304,0.04040404040404041,0.0,0.005050505050505051,0.010101010101010102,0.09595959595959595,0.010101010101010102,0.010101010101010102,0.0707070707070707,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.0,0.005050505050505051,0.015151515151515152,0.0,0.025252525252525252,0.020202020202020204,0.0,0.010101010101010102,0.0,0.010101010101010102,0.0,0.04040404040404041,0.005050505050505051,0.0,0.030303030303030304,0.09090909090909091,0.0,0.0,0.005050505050505051,0.025252525252525252,0.0,0.0,0.04040404040404041,0.020202020202020204,0.0,0.005050505050505051,0.005050505050505051,0.0,0.005050505050505051,0.0,0.0,0.010101010101010102,0.010101010101010102,0.03535353535353535,0.0,0.010101010101010102,0.0,0.010101010101010102,0.005050505050505051
广,0.0,0.03535353535353535,0.03535353535353535,0.0,0.010101010101010102,0.0,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.0,0.005050505050505051,0.010101010101010102,0.005050505050505051,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.005050505050505051,0.015151515151515152,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.005050505050505051,0.005050505050505051,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.0
彳,0.015151515151515152,0.10101010101010101,0.15656565656565657,0.005050505050505051,0.10101010101010101,0.0,0.06060606060606061,0.0,0.010101010101010102,0.010101010101010102,0.05555555555555555,0.020202020202020204,0.025252525252525252,0.08080808080808081,0.0,0.005050505050505051,0.0,0.030303030303030304,0.0,0.025252525252525252,0.010101010101010102,0.010101010101010102,0.0,0.010101010101010102,0.025252525252525252,0.0,0.015151515151515152,0.010101010101010102,0.025252525252525252,0.015151515151515152,0.0,0.025252525252525252,0.08080808080808081,0.030303030303030304,0.0,0.010101010101010102,0.020202020202020204,0.015151515151515152,0.0,0.045454545454545456,0.025252525252525252,0.0,0.015151515151515152,0.0,0.005050505050505051,0.0,0.025252525252525252,0.015151515151515152,0.015151515151515152,0.005050505050505051,0.0707070707070707,0.0,0.005050505050505051,0.0,0.015151515151515152,0.0
心,0.0,0.09090909090909091,0.0707070707070707,0.0,0.05555555555555555,0.005050505050505051,0.06565656565656566,0.0,0.0,0.0,0.03535353535353535,0.0,0.015151515151515152,0.06060606060606061,0.010101010101010102,0.015151515151515152,0.0,0.0,0.005050505050505051,0.020202020202020204,0.0,0.0,0.010101010101010102,0.005050505050505051,0.0,0.0,0.015151515151515152,0.015151515151515152,0.025252525252525252,0.010101010101010102,0.0,0.025252525252525252,0.05555555555555555,0.005050505050505051,0.0,0.0,0.005050505050505051,0.0,0.005050505050505051,0.005050505050505051,0.020202020202020204,0.005050505050505051,0.025252525252525252,0.0,0.0,0.025252525252525252,0.0,0.005050505050505051,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.010101010101010102
忄,0.0,0.1717171717171717,0.07575757575757576,0.010101010101010102,0.050505050505050504,0.06060606060606061,0.06060606060606061,0.0,0.005050505050505051,0.0,0.09595959595959595,0.015151515151515152,0.015151515151515152,0.09595959595959595,0.015151515151515152,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.0,0.0,0.0,0.010101010101010102,0.005050505050505051,0.015151515151515152,0.015151515151515152,0.0,0.0,0.025252525252525252,0.045454545454545456,0.025252525252525252,0.005050505050505051,0.04040404040404041,0.14646464646464646,0.030303030303030304,0.005050505050505051,0.010101010101010102,0.015151515151515152,0.005050505050505051,0.010101010101010102,0.05555555555555555,0.04040404040404041,0.0,0.015151515151515152,0.010101010101010102,0.0,0.015151515151515152,0.010101010101010102,0.020202020202020204,0.005050505050505051,0.010101010101010102,0.045454545454545456,0.005050505050505051,0.0,0.0,0.005050505050505051,0.0
戶,0.0,0.07575757575757576,0.06565656565656566,0.0,0.08080808080808081,0.010101010101010102,0.030303030303030304,0.0,0.0,0.0,0.09090909090909091,0.010101010101010102,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0,0.010101010101010102,0.005050505050505051,0.025252525252525252,0.0,0.015151515151515152,0.0,0.0,0.005050505050505051,0.0,0.03535353535353535,0.015151515151515152,0.0,0.03535353535353535,0.08080808080808081,0.015151515151515152,0.0,0.010101010101010102,0.025252525252525252,0.005050505050505051,0.005050505050505051,0.030303030303030304,0.045454545454545456,0.005050505050505051,0.010101010101010102,0.010101010101010102,0.0,0.015151515151515152,0.005050505050505051,0.010101010101010102,0.005050505050505051,0.0,0.020202020202020204,0.005050505050505051,0.0,0.0,0.005050505050505051,0.0
手,0.0,0.005050505050505051,0.0,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005050505050505051,0.0,0.0,0.0
扌,0.0,0.10606060606060606,0.08080808080808081,0.005050505050505051,0.09090909090909091,0.030303030303030304,0.04040404040404041,0.0,0.0,0.005050505050505051,0.08585858585858586,0.005050505050505051,0.025252525252525252,0.0707070707070707,0.015151515151515152,0.010101010101010102,0.010101010101010102,0.005050505050505051,0.0,0.010101010101010102,0.0,0.015151515151515152,0.015151515151515152,0.0,0.005050505050505051,0.0,0.0,0.020202020202020204,0.025252525252525252,0.0,0.005050505050505051,0.015151515151515152,0.10101010101010101,0.030303030303030304,0.0,0.010101010101010102,0.015151515151515152,0.03535353535353535,0.010101010101010102,0.030303030303030304,0.030303030303030304,0.005050505050505051,0.03535353535353535,0.010101010101010102,0.0,0.015151515151515152,0.015151515151515152,0.010101010101010102,0.0,0.005050505050505051,0.04040404040404041,0.005050505050505051,0.005050505050505051,0.0,0.010101010101010102,0.010101010101010102
