,⺮,一,丶,乙,人,亻,八,冫,厂,又,口,囗,土,大,女,子,宀,寸,尸,巾,广,彳,心,忄,戶,手,扌,方,月,木,水,氵,火,牛,玉,目,矢,示,糸,老,而,臼,艸,行,衣,見,言,訁,足,車,辶,金,門,雨,食,馬
臼,0,9,8,0,10,2,2,0,0,0,6,1,2,4,0,2,3,0,0,0,0,0,1,0,1,0,1,1,3,1,0,2,2,1,0,1,0,0,0,6,5,0,2,3,0,1,0,0,0,0,4,0,0,0,0,1
艸,1,37,23,0,23,2,12,0,1,0,24,2,6,19,1,1,10,1,1,1,1,3,5,3,2,0,7,4,8,4,0,3,29,8,0,2,1,1,1,9,12,2,3,1,0,5,4,0,2,1,12,0,1,0,0,1
行,1,14,7,2,10,4,8,0,2,0,9,2,2,9,0,0,1,1,1,1,0,0,0,2,2,0,2,2,5,0,0,2,9,2,0,2,5,0,1,6,5,3,1,0,0,0,4,0,0,0,4,0,1,0,2,1
衣,0,5,1,0,1,0,1,0,0,0,5,0,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
見,0,14,14,1,9,6,10,0,0,0,12,1,4,17,1,1,2,0,1,1,0,0,5,3,3,0,3,2,5,1,0,4,13,2,1,3,5,1,1,5,8,1,5,0,0,1,0,3,0,2,10,0,0,0,0,2
言,0,23,20,2,20,5,10,0,1,0,19,2,2,16,0,4,4,2,3,0,0,5,0,2,1,0,3,3,4,5,1,8,17,5,1,3,6,0,1,6,7,0,4,4,0,0,0,5,4,1,6,0,2,0,2,1
訁,0,26,22,1,23,11,6,0,1,1,24,1,2,9,1,1,0,2,3,0,1,3,1,4,2,0,2,7,4,2,0,6,19,1,0,1,6,3,2,8,7,0,0,0,0,3,5,0,0,2,7,2,1,0,1,1
足,1,25,7,1,9,1,7,0,1,2,18,1,2,5,0,0,0,0,1,2,1,3,0,1,1,0,0,1,4,1,0,2,6,1,0,2,2,1,0,1,5,0,2,0,0,0,4,0,2,1,10,0,0,0,0,0
車,0,8,5,1,7,3,1,0,0,2,9,0,1,7,0,1,1,0,0,2,0,1,0,2,0,0,1,1,0,3,0,2,8,1,0,4,0,1,1,3,1,0,1,0,0,2,1,2,1,0,6,1,0,0,0,0
辶,1,68,54,4,43,17,23,0,3,2,67,7,7,56,1,6,7,9,3,7,1,14,1,9,4,0,8,10,16,11,0,16,63,11,0,11,14,3,3,16,19,4,12,4,1,10,6,7,10,6,16,0,3,0,3,2
金,0,3,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
門,0,12,11,1,4,2,0,0,0,1,16,0,0,5,0,1,2,0,0,2,0,1,0,0,0,1,1,2,2,0,0,0,7,1,0,2,5,2,0,3,3,0,1,1,0,0,2,1,0,0,3,0,0,0,1,1
雨,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
食,0,4,8,2,5,1,10,0,0,1,9,1,0,6,2,0,1,0,0,2,0,3,0,1,1,0,2,5,4,1,0,1,7,1,0,2,3,1,0,5,7,0,0,2,0,0,2,1,0,0,3,0,1,0,0,0
馬,0,8,5,0,4,1,5,0,0,0,7,0,0,5,0,0,2,0,0,1,0,0,2,0,0,0,2,0,3,0,1,4,2,3,0,1,3,0,0,1,0,1,1,1,0,2,1,1,0,0,2,0,1,0,0,0
